"Timestamp","Which age group do you belong to?","What is your profession?","Who is your favourate political leader in India?","Do you think Narendra Modi has the ability to transform India?","How much time do you give to your mobile phone in one day?","What would you like to do in your free time?","What would you do to enhance your knowledge?","Which type of music do you love to listen?","Which type of marriage is best?","Which social networking plateform do you love to use the most?","Which online shopping site do you like to prefer?","How much time you give to your parents in a day?","What would you like to do to remain fit and healthy?","Which shampoo brand would you like to use?","Which toothpaste brand would you like to use?"
"2018/12/09 6:48:29 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Read Books","Read Newspapers","Romantic","Love Marriage","Watsapp","Flipkart","less than 1 hour","Normal Excercises","Pantene","Colgate"
"2018/12/09 6:55:34 pm GMT+5:30","31-40 year","Housewife","Narendra Modi","Yes","5-7 hours","Read something new","Read Newspapers","Rock","Arrange Marriage","Watsapp","Amazon","2-3 hours","Normal Excercises","Pantene","Close-Up"
"2018/12/09 6:57:50 pm GMT+5:30","41-50 year","Housewife","None","Yes","3-5 hours","Hangout with friends","Mobile","Classic","Arrange Marriage","Facebook","Paytm Mall","2-3 hours","Normal Excercises","Sunsilk","Dant Kanti"
"2018/12/09 7:05:21 pm GMT+5:30","31-40 year","Housewife","Narendra Modi","Yes","greater than 7 hours","Shopping n meetings with friends ","Cooking","Romantic","Love Marriage","Watsapp","Paytm Mall","3-4 hours","Dieting","LOreal","Dant Kanti"
"2018/12/09 7:16:18 pm GMT+5:30","41-50 year","Housewife","none","Yes","3-5 hours","Online bussiness","Mobile","Romantic","Love Marriage","Facebook","Paytm Mall","1-2 hours","Normal Excercises","Dove","Sensodyne"
"2018/12/09 7:18:29 pm GMT+5:30","21-30 year","Business","Arvind Kejriwal","No","greater than 7 hours","Hangout with friends","Watch documentaries / Educational videos","Rap","Love Marriage","Watsapp","Paytm Mall","greater than 5 hours","Jym","Scalpe+","Dant Kanti"
"2018/12/09 7:20:09 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","3-5 hours","Play Outdoor Games","Watch documentaries / Educational videos","Classic","Arrange Marriage","Watsapp","Amazon","greater than 5 hours","Normal Excercises","Dove","Dant Kanti"
"2018/12/09 7:25:26 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","5-7 hours","Play Outdoor Games","Watch documentaries / Educational videos","Classic","Arrange Marriage","Watsapp","Amazon","greater than 5 hours","Normal Excercises","Clinic +","Dant Kanti"
"2018/12/09 7:26:21 pm GMT+5:30","11-20 year","Student","Narendra Modi","Yes","1-3 hours","Read Books","Read Newspapers","Romantic","Love Marriage","Watsapp","Amazon","less than 1 hour","Normal Excercises","TRESemme","Colgate"
"2018/12/09 7:26:38 pm GMT+5:30","41-50 year","Business","Narendra Modi","Yes","greater than 7 hours","Rotary club activties","Read Newspapers","Romantic","Arrange Marriage","Facebook","Flipkart","2-3 hours","Normal Excercises","Clinic plus","Close-Up"
